,item_brand,item_name,item_price,item_link
53,Material Girl,"Blaire Two-Piece Dress Sandals, Created for Macy's",$24.63,https://www.macys.com/shop/product/material-girl-blaire-two-piece-dress-sandals-created-for-macys?ID=10353317&CategoryID=56233
54,MICHAEL Michael Kors,Preston Leather Tall Riding Boots,$105.73,https://www.macys.com/shop/product/michael-michael-kors-preston-leather-tall-riding-boots?ID=10461688&CategoryID=56233
55,Calvin Klein,Women's Gara Booties,$61.93,https://www.macys.com/shop/product/calvin-klein-womens-gara-booties?ID=10478131&CategoryID=56233
56,Style & Co,"Masrinaa Ankle Booties, Created for Macy's",$37.93,https://www.macys.com/shop/product/style-co-masrinaa-ankle-booties-created-for-macys?ID=10423201&CategoryID=56233
57,Sorel,Women's Nakiska Slide II Slippers,$34.93,https://www.macys.com/shop/product/sorel-womens-nakiska-slide-ii-slippers?ID=10503702&CategoryID=56233
58,UGG®,Women's Amary Slippers,$74.99,https://www.macys.com/shop/product/ugg-womens-amary-slippers?ID=8768835&CategoryID=56233
59,American Rag,"Abby Ankle Booties, Created for Macy's",$34.63,https://www.macys.com/shop/product/american-rag-abby-ankle-booties-created-for-macys?ID=10423213&CategoryID=56233
60,Kenneth Cole New York,Women's Levon Zip-Up Ankle Booties,$72.03,https://www.macys.com/shop/product/kenneth-cole-new-york-womens-levon-zip-up-ankle-booties?ID=10413194&CategoryID=56233
61,Nike,Women's Air Heights Casual Sneakers from Finish Line,$35.00,https://www.macys.com/shop/product/nike-womens-air-heights-casual-sneakers-from-finish-line?ID=10462588&CategoryID=56233
62,Skechers,Women's Ultra Flex Enchanted Winter Walking Sneakers from Finish Line,$30.00,https://www.macys.com/shop/product/skechers-womens-ultra-flex-enchanted-winter-walking-sneakers-from-finish-line?ID=10471680&CategoryID=56233
63,Bar III,"Tya Mules, Created for Macy's",$33.93,https://www.macys.com/shop/product/bar-iii-tya-mules-created-for-macys?ID=10507151&CategoryID=56233
64,Nike,Women's LD Victory Casual Sneakers from Finish Line,$40.00,https://www.macys.com/shop/product/nike-womens-ld-victory-casual-sneakers-from-finish-line?ID=10375185&CategoryID=56233
65,Sorel,Women's Joan of Arctic Wedge II Waterproof Chelsea Booties,$149.99,https://www.macys.com/shop/product/sorel-womens-joan-of-arctic-wedge-ii-waterproof-chelsea-booties?ID=10413185&CategoryID=56233
66,MICHAEL Michael Kors,Gamma Cold Weather Boots,$157.50,https://www.macys.com/shop/product/michael-michael-kors-gamma-cold-weather-boots?ID=8773677&CategoryID=56233
67,Giani Bernini,"Vineza Memory Foam Mary Jane Pumps, Created For Macy's",$37.23,https://www.macys.com/shop/product/giani-bernini-vineza-memory-foam-mary-jane-pumps-created-for-macys?ID=10423306&CategoryID=56233
68,Alfani,"Women's Step 'N Flex Jeules Pumps, Created for Macy's",$32.03,https://www.macys.com/shop/product/alfani-womens-step-n-flex-jeules-pumps-created-for-macys?ID=10423209&CategoryID=56233
69,Steve Madden,Women's Kori Tailored Mules,$36.13,https://www.macys.com/shop/product/steve-madden-womens-kori-tailored-mules?ID=10423112&CategoryID=56233
70,Converse,Women's Chuck Taylor All Star Low Top Casual Sneakers from Finish Line,$25.00,https://www.macys.com/shop/product/converse-womens-chuck-taylor-all-star-low-top-casual-sneakers-from-finish-line?ID=10424298&CategoryID=56233
71,Marc Fisher,Chris Round-Toe Pumps,$32.13,https://www.macys.com/shop/product/marc-fisher-chris-round-toe-pumps?ID=10479375&CategoryID=56233
72,INC International Concepts,"INC Women's Coletta Slingback Pointed Toe Pumps, Created for Macy's",$43.93,https://www.macys.com/shop/product/inc-womens-coletta-slingback-pointed-toe-pumps-created-for-macys?ID=10423573&CategoryID=56233
73,Kenneth Cole Reaction,Women's Pepea Slide Wedge Sandals,$31.93,https://www.macys.com/shop/product/kenneth-cole-reaction-womens-pepea-slide-wedge-sandals?ID=10453439&CategoryID=56233
74,G by GUESS,Illuse Booties,$37.13,https://www.macys.com/shop/product/g-by-guess-illuse-booties?ID=10332605&CategoryID=56233
75,Marc Fisher,Viviene Block-Heel Pumps,$30.93,https://www.macys.com/shop/product/marc-fisher-viviene-block-heel-pumps?ID=10421449&CategoryID=56233
76,Nike,Women's Air Max Axis Premium Casual Sneakers from Finish Line,$75.00,https://www.macys.com/shop/product/nike-womens-air-max-axis-premium-casual-sneakers-from-finish-line?ID=10353553&CategoryID=56233
77,MICHAEL Michael Kors,Frenchie Leather Tall Riding Boots,$105.73,https://www.macys.com/shop/product/michael-michael-kors-frenchie-leather-tall-riding-boots?ID=10484857&CategoryID=56233
