,item_name,item_price,item_link
67,Nike Air Force 1 Sage Low Platform Sneaker (Women),$100.00,https://shop.nordstrom.com/s/nike-air-force-1-sage-low-platform-sneaker-women/4956376?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=bio%20beige%2F%20black%2F%20white
68,UGG® Bailey Bow II Genuine Shearling Boot (Women),$139.95,https://shop.nordstrom.com/s/ugg-bailey-bow-ii-genuine-shearling-boot-women/5533984?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pink%20crystal
69,UGG® Grove Genuine Shearling Trim Slipper (Women),$69.90,https://shop.nordstrom.com/s/ugg-grove-genuine-shearling-trim-slipper-women/5319375?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut%20suede
70,Birdies Phoebe Mule (Women),$120.00,https://shop.nordstrom.com/s/birdies-phoebe-mule-women/5343794?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=cheetah%20calf%20hair
71,adidas NMD R1 Athletic Shoe (Women),$130.00,https://shop.nordstrom.com/s/adidas-nmd-r1-athletic-shoe-women/4376938?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=core%20black%2F%20core%20black
72,UGG® Classic Mini Fluff Genuine Shearling Bootie (Women),$89.90,https://shop.nordstrom.com/s/ugg-classic-mini-fluff-genuine-shearling-bootie-women/5534003?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=bougainvillea
73,SOREL Out N About Plus Waterproof Bootie (Women),$89.90,https://shop.nordstrom.com/s/sorel-out-n-about-plus-waterproof-bootie-women/5546859?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=alpine%20tundra%20leather
74,Alexander McQueen Sneaker (Women),$490.00 – $560.00,https://shop.nordstrom.com/s/alexander-mcqueen-sneaker-women/3909475?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=white%2F%20snakeprint
75,UGG® Bailey Button II Boot (Women),$169.95,https://shop.nordstrom.com/s/ugg-bailey-button-ii-boot-women/4366837?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut%20suede
76,BP. Jett Bootie (Women),$59.90,https://shop.nordstrom.com/s/bp-jett-bootie-women/5180648?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=cognac%20leather
77,adidas Falcon Sneaker (Women) (Limited Edition),$59.13,https://shop.nordstrom.com/s/adidas-falcon-sneaker-women-limited-edition/5483728?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=white
78,Dr. Martens 'Pascal' Boot,$149.95,https://shop.nordstrom.com/s/dr-martens-pascal-boot/3908613?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20virginia
79,Børn North Riding Boot (Women) (Regular & Wide Calf),$129.90 – $179.95,https://shop.nordstrom.com/s/born-north-riding-boot-women-regular-wide-calf/5328132?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=dark%20grey%20suede
80,adidas UltraBoost 20 Running Shoe (Women),$180.00,https://shop.nordstrom.com/s/adidas-ultraboost-20-running-shoe-women/5351332?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=dash%20grey%2F%20grey%20%2F%20white
81,Superga 'Cotu' Sneaker (Women),$49.99,https://shop.nordstrom.com/s/superga-cotu-sneaker-women/5496754?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=white%20canvas
82,UGG® Galaxy Genuine Shearling Slipper,$77.96,https://shop.nordstrom.com/s/ugg-galaxy-genuine-shearling-slipper/5319370?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black
83,BP. Juniper Over the Knee Boot (Women),$54.90,https://shop.nordstrom.com/s/bp-juniper-over-the-knee-boot-women/5276095?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20faux%20suede
84,UGG® Bailey Button II Boot (Women),$119.95,https://shop.nordstrom.com/s/ugg-bailey-button-ii-boot-women/5533977?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=terracotta%20suede
85,Jessica Simpson Pheona Pump (Women),$39.48 – $47.40,https://shop.nordstrom.com/s/jessica-simpson-pheona-pump-women/5509041?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%2F%20black%20suede
86,Blondo Noa Waterproof Bootie (Women),$99.90,https://shop.nordstrom.com/s/blondo-noa-waterproof-bootie-women/5294246?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=brown%20snake%20print%20leather
87,Sperry Saltwater Waterproof Rain Boot (Women),$59.90,https://shop.nordstrom.com/s/sperry-saltwater-waterproof-rain-boot-women/5283048?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=tan%2F%20brown%20leather
88,Veja V-10 Sneaker (Women),$150.00,https://shop.nordstrom.com/s/veja-v-10-sneaker-women/5081553?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=snow%2F%20black
89,Nike Air Max 270 Premium Sneaker (Women),$150.00 – $160.00,https://shop.nordstrom.com/s/nike-air-max-270-premium-sneaker-women/4700177?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=platinum%2F%20white%2F%20pink%20blast
90,Nike Air Max 97 Sneaker (Women),$135.96,https://shop.nordstrom.com/s/nike-air-max-97-sneaker-women/5545778?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=red%20bronze%2F%20silver
91,Louise et Cie Lander Open Toe Genuine Calf Hair Bootie (Women),$74.48,https://shop.nordstrom.com/s/louise-et-cie-lander-open-toe-genuine-calf-hair-bootie-women/5441351?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=zeopard%20calf%20hair
92,UGG® Dakota Water Resistant Slipper (Women),$99.95,https://shop.nordstrom.com/s/ugg-dakota-water-resistant-slipper-women/2863246?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black
93,UGG® Amary Faux Fur Slipper Bootie (Women),$59.96,https://shop.nordstrom.com/s/ugg-amary-faux-fur-slipper-bootie-women/5534002?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=quartz%20fabric
94,UGG® Cozette Genuine Shearling Slide (Women),$47.96,https://shop.nordstrom.com/s/ugg-cozette-genuine-shearling-slide-women/5533989?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=fuchsia
95,Blondo Villa Waterproof Boot (Women),$74.95 – $151.95,https://shop.nordstrom.com/s/blondo-villa-waterproof-boot-women/4580560?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=mushroom%20nubuck
96,UGG® Classic II Genuine Shearling Lined Tall Boot (Women),$199.95,https://shop.nordstrom.com/s/ugg-classic-ii-genuine-shearling-lined-tall-boot-women/4367023?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=grey%20suede
97,Dr. Scholl's No Chill Sneaker (Women),$49.99,https://shop.nordstrom.com/s/dr-scholls-no-chill-sneaker-women/5498752?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=dark%20shadow%20fabric
98,Sam Edelman Hazel Pointy Toe Pump (Women),$119.95 – $139.95,https://shop.nordstrom.com/s/sam-edelman-hazel-pointy-toe-pump-women/4381926?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pastel%20multicolor%20leather
99,Steve Madden Julianne Bootie (Women),$64.90,https://shop.nordstrom.com/s/steve-madden-julianne-bootie-women/5476947?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20croco
100,UGG® McKay Water Resistant Bootie (Women),$149.95,https://shop.nordstrom.com/s/ugg-mckay-water-resistant-bootie-women/4350576?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut%20suede
101,Steve Madden Glassy Clear Platform Sandal (Women),$67.17,https://shop.nordstrom.com/s/steve-madden-glassy-clear-platform-sandal-women/5449392?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=tan
102,Vans Old Skool Sneaker (Women),$59.95,https://shop.nordstrom.com/s/vans-old-skool-sneaker-women/4103416?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=blushing%2F%20true%20white
