,item,macys_price_x,macys_link_x,nm_price_x,nm_link_x,macys_price_y,macys_link_y,nordstrom_price_x,nordstrom_link_x,nm_price_y,nm_link_y,nordstrom_price_y,nordstrom_link_y
10,jackrogerstinsleysuedekneeboots,$248.00,https://www.macys.com/shop/product/jack-rogers-tinsley-suede-knee-boots?ID=10336963&CategoryID=56233,$248,https://www.neimanmarcus.com/p/jack-rogers-tinsley-suede-knee-boots-prod227190690?childItemId=NMX4Y28_&navpath=cat000000_cat000141_cat47190746&page=6&position=26&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FswTkuPnE9ynzbwz1b-tbgW29Wlq55ttYoRT9gcj.jsession,,,,,,,,
11,jackrogersizziesuedewedgebooties,$158.00,https://www.macys.com/shop/product/jack-rogers-izzie-suede-wedge-booties?ID=10456119&CategoryID=56233,$158,https://www.neimanmarcus.com/p/jack-rogers-izzie-suede-wedge-booties-prod227190283?childItemId=NMX4Y2Q_&navpath=cat000000_cat000141_cat47190746&page=6&position=22&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FswTkuPnE9ynzbwz1b-tbgW29Wlq55ttYoRT9gcj.jsession,,,,,,,,
12,jackrogersizziesuedewedgebooties,$158.00,https://www.macys.com/shop/product/jack-rogers-izzie-suede-wedge-booties?ID=10164249&CategoryID=56233,$158,https://www.neimanmarcus.com/p/jack-rogers-izzie-suede-wedge-booties-prod227190283?childItemId=NMX4Y2Q_&navpath=cat000000_cat000141_cat47190746&page=6&position=22&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FswTkuPnE9ynzbwz1b-tbgW29Wlq55ttYoRT9gcj.jsession,,,,,,,,
13,jackrogersainsleyhaircalfsneakers,$118.00,https://www.macys.com/shop/product/jack-rogers-ainsley-haircalf-sneakers?ID=9502206&CategoryID=56233,$118,https://www.neimanmarcus.com/p/jack-rogers-ainsley-hair-calf-sneakers-prod223030481?childItemId=NMX4RRJ_&navpath=cat000000_cat000141_cat47190746&page=9&position=95&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_3FgoJVi4wsvVROVSNGwawABQUDOZLFHYVk3YtGhG.jsession,,,,,,,,
14,jackrogersstellapullonboots,$138.00,https://www.macys.com/shop/product/jack-rogers-stella-pull-on-boots?ID=10164242&CategoryID=56233,$138,https://www.neimanmarcus.com/p/jack-rogers-stella-pull-on-boots-prod227190595?childItemId=NMX4Y25_&navpath=cat000000_cat000141_cat47190746&page=7&position=105&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pzaA85hLEMSj-B79gaCpARI3apZnq3XKpBocFVUX.jsession,,,,,,,,
15,jackrogersbeatrixjeweledsuedeloafers,$168.00,https://www.macys.com/shop/product/jack-rogers-beatrix-jeweled-suede-loafers?ID=10336939&CategoryID=56233,$168,https://www.neimanmarcus.com/p/jack-rogers-beatrix-jeweled-suede-loafers-prod227190267?childItemId=NMX4Y2Z_&navpath=cat000000_cat000141_cat47190746&page=6&position=21&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FswTkuPnE9ynzbwz1b-tbgW29Wlq55ttYoRT9gcj.jsession,,,,,,,,
16,jackrogersizziesuedebooties,$168.00,https://www.macys.com/shop/product/jack-rogers-izzie-suede-booties?ID=9673737&CategoryID=56233,$168,https://www.neimanmarcus.com/p/jack-rogers-izzie-suede-booties-prod227190891?childItemId=NMX4Y29_&navpath=cat000000_cat000141_cat47190746&page=6&position=28&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FswTkuPnE9ynzbwz1b-tbgW29Wlq55ttYoRT9gcj.jsession,,,,,,,,
17,jackrogersgeorgicasandals,,,,,$128.00,https://www.macys.com/shop/product/jack-rogers-georgica-sandals?ID=10336989&CategoryID=56233,$127.95,https://shop.nordstrom.com/s/jack-rogers-georgica-sandals-women/3076309?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=platinum,,,,
18,minnetonkadinaslipper,,,,,$34.95,https://www.macys.com/shop/product/minnetonka-dina-slipper?ID=10249389&CategoryID=56233,$34.95,https://shop.nordstrom.com/s/minnetonka-dina-slipper-women/5095683?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=cream%20berber,,,,
19,minnetonkabettybootie,,,,,$39.95,https://www.macys.com/shop/product/minnetonka-betty-bootie?ID=10249393&CategoryID=56233,$39.95,https://shop.nordstrom.com/s/minnetonka-betty-bootie-women/5103946?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=orange%2F%20red%20knit%20fabric,,,,
